SITE,STAGE,TRANSECT_POINT,NORTHING,EASTING,ENVIRON,DIST_FPL,LOCATION,ACTUAL_Z,DATE,D13C_CH4,D13C_CO2,WATER_T,COND,PH,WIND_ONSITE,O2_PERCENT,O2,PCO2,PCH4,O2_Ar
AnRe.1,High,1,12.65388,104.16687,Pelagic,-1960,Central,0.1,10/4/15,-58.881,-35.726,29.88,0.013,6.76,0.5,48.5,3.68,12019.229,8.18,10.82
AnRe.1,High,1,12.65388,104.16687,Pelagic,-1960,Central,0.1,10/4/15,-86.918,-35.484,29.88,0.013,6.76,0.5,48.5,3.68,12196.806,7.8,10.88
AnRe.1,High,1,12.65388,104.16687,Pelagic,-1960,Central,0.1,10/4/15,-93.287,-34.839,29.88,0.013,6.76,0.5,48.5,3.68,11910.753,NA,10.94
AnRe.1,High,1,12.65388,104.16687,Pelagic,-1960,Central,1,10/4/15,-109.089,-37.309,29.88,0.013,6.87,0.5,48.7,3.68,NA,NA,NA
AnRe.1,High,1,12.65388,104.16687,Pelagic,-1960,Central,1,10/4/15,-51.673,-37.344,29.88,0.013,6.87,0.5,48.7,3.68,12424.324,11.71,NA
AnRe.1,High,1,12.65388,104.16687,Pelagic,-1960,Central,1,10/4/15,-111.857,-37.242,29.88,0.013,6.87,0.5,48.7,3.68,12354.016,8.29,NA
AnRe.1,High,1,12.65388,104.16687,Pelagic,-1960,Central,1,10/4/15,-47.222,-50.774,29.88,0.013,6.87,0.5,48.7,3.68,11573.294,8.57,NA
AnRe.1,High,1,12.65388,104.16687,Pelagic,-1960,Central,2,10/4/15,-91.458,-34.483,29.88,0.013,6.9,0.5,48.6,3.68,9958.565,0,NA
AnRe.1,High,1,12.65388,104.16687,Pelagic,-1960,Central,2,10/4/15,-96.375,-35.269,29.88,0.013,6.9,0.5,48.6,3.68,10502.081,0,NA
AnRe.1,High,1,12.65388,104.16687,Pelagic,-1960,Central,2,10/4/15,-95.867,-35.302,29.88,0.013,6.9,0.5,48.6,3.68,10930.705,0,NA
AnRe.1,High,1,12.65388,104.16687,Pelagic,-1960,Central,3,10/4/15,-102.188,-35.679,29.88,0.013,6.91,0.5,48,3.64,10819.503,0,NA
AnRe.1,High,1,12.65388,104.16687,Pelagic,-1960,Central,3,10/4/15,-94.638,-34.204,29.88,0.013,6.91,0.5,48,3.64,10831.743,0,NA
AnRe.1,High,1,12.65388,104.16687,Pelagic,-1960,Central,3,10/4/15,-100.386,-35.152,29.88,0.013,6.91,0.5,48,3.64,10627.75,0,NA
AnRe.1,High,1,12.65388,104.16687,Pelagic,-1960,Central,4.5,10/4/15,-65.787,-34.624,29.88,0.013,6.9,0.5,46.9,3.55,9198.502,6.85,11.04
AnRe.1,High,1,12.65388,104.16687,Pelagic,-1960,Central,4.5,10/4/15,-78.234,-34.508,29.88,0.013,6.9,0.5,46.9,3.55,9487.946,7.19,11.07
AnRe.1,High,1,12.65388,104.16687,Pelagic,-1960,Central,4.5,10/4/15,-89.624,-34.633,29.88,0.013,6.9,0.5,46.9,3.55,9584.218,8.02,10.66
AnRe.1,High,1,12.65388,104.16687,Pelagic,-1960,Central,5.5,10/4/15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AnRe.1,High,1,12.65388,104.16687,Pelagic,-1960,Central,5.5,10/4/15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AnRe.1,High,1,12.65388,104.16687,Pelagic,-1960,Central,5.5,10/4/15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AnRe.2,High,2,12.65222,104.14899,Edge,0,Central,0.1,10/4/15,-14.181,-30.402,30.31,0.01,7.34,1.5,40,3,4067.626,207.81,3.94
AnRe.2,High,2,12.65222,104.14899,Edge,0,Central,0.1,10/4/15,-16.516,-28.773,30.31,0.01,7.34,1.5,40,3,3848.666,212.04,4.33
AnRe.2,High,2,12.65222,104.14899,Edge,0,Central,0.1,10/4/15,-20.229,-28.929,30.31,0.01,7.34,1.5,40,3,3645.865,182.39,NA
AnRe.2,High,2,12.65222,104.14899,Edge,0,Central,0.5,10/4/15,-10.735,-35.303,30.05,0.01,7.17,1.5,23.1,1.75,4068.225,185.16,NA
AnRe.2,High,2,12.65222,104.14899,Edge,0,Central,0.5,10/4/15,-10.672,-35.225,30.05,0.01,7.17,1.5,23.1,1.75,3738.188,177.36,NA
AnRe.2,High,2,12.65222,104.14899,Edge,0,Central,0.5,10/4/15,-8.878,-25.513,30.05,0.01,7.17,1.5,23.1,1.75,3828.719,196.97,NA
AnRe.2,High,2,12.65222,104.14899,Edge,0,Central,1,10/4/15,-47.969,-39.081,29.96,0.01,7.01,1.5,13.5,1.02,6515.956,3463.88,NA
AnRe.2,High,2,12.65222,104.14899,Edge,0,Central,1,10/4/15,-47.96,-37.953,29.96,0.01,7.01,1.5,13.5,1.02,7008.27,3620.72,NA
AnRe.2,High,2,12.65222,104.14899,Edge,0,Central,1,10/4/15,-48.054,-38.593,29.96,0.01,7.01,1.5,13.5,1.02,7405.364,2640.61,NA
AnRe.2,High,2,12.65222,104.14899,Edge,0,Central,2,10/4/15,-37.726,-37.424,29.83,0.01,6.58,1.5,3.4,0.26,5457.583,197.17,NA
AnRe.2,High,2,12.65222,104.14899,Edge,0,Central,2,10/4/15,-15.591,-36.73,29.83,0.01,6.58,1.5,3.4,0.26,5713.796,98.76,NA
